,AGREEMENT_RK,AGE,GEN_TITLE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,TARGET
36,59914815,40,Рабочий,1,0,0,1,1,20000.0,1,1,0
37,59914912,63,,0,1,1,0,0,5000.0,1,1,0
38,59914934,40,Рабочий,1,0,1,3,2,11000.0,1,1,0
39,59914938,27,Руководитель среднего звена,1,0,0,1,1,15000.0,1,1,0
40,59915134,49,Рабочий,1,0,1,2,0,5000.0,1,1,0
41,59915164,29,Работник сферы услуг,1,0,0,0,0,10000.0,1,1,0
42,59915192,61,Специалист,1,0,1,0,0,13000.0,1,1,0
43,59915193,43,Рабочий,1,0,1,2,2,30000.0,1,1,0
44,59915275,38,Специалист,1,0,0,0,0,23000.0,2,2,0
46,59915302,38,Руководитель высшего звена,1,0,0,4,4,15000.0,1,1,0
47,59915312,49,Рабочий,1,0,0,2,0,10000.0,1,1,0
48,59915340,44,Руководитель высшего звена,1,0,1,0,0,13000.0,1,1,0
49,59915354,61,,0,1,1,2,0,5000.0,1,1,0
50,59915402,28,Специалист,1,0,1,1,1,8000.0,2,2,0
52,59915484,31,Рабочий,1,0,0,1,1,20000.0,1,1,0
53,59915500,59,,0,1,1,0,0,4000.0,1,1,0
54,59915564,54,Специалист,1,0,1,2,0,8000.0,2,1,0
56,59915634,48,Специалист,1,0,1,2,0,13000.0,1,1,0
57,59915800,24,Специалист,1,0,0,0,0,50000.0,1,1,0
58,59915970,48,Высококвалифиц. специалист,1,0,1,0,0,15000.0,1,1,0
59,59916060,43,Специалист,1,0,1,1,1,20000.0,2,1,0
61,59916079,23,Специалист,1,0,0,1,1,18000.0,1,1,0
62,59916196,54,Работник сферы услуг,1,0,1,2,0,40000.0,1,1,0
63,59916537,37,Военнослужащий по контракту,1,0,0,1,1,10000.0,1,1,0
64,59916782,47,Высококвалифиц. специалист,1,0,1,0,0,20000.0,1,1,0
65,59917047,52,,0,1,1,1,1,5700.0,2,2,0
67,59917064,24,Специалист,1,0,0,0,0,15000.0,2,2,0
69,59917071,48,Рабочий,1,0,1,0,0,11000.0,1,1,0
70,59917104,58,,0,1,0,2,0,9000.0,1,1,0
71,59917205,34,Специалист,1,0,1,0,0,9000.0,1,1,0
72,59917790,31,Военнослужащий по контракту,1,0,1,0,0,12800.0,2,1,0
74,59917807,31,Рабочий,1,0,0,1,1,20000.0,1,1,0
75,59917814,35,Рабочий,1,0,1,1,1,15000.0,1,1,1
76,59917902,54,,0,1,1,2,0,10000.0,1,1,0
77,59918129,35,Специалист,1,0,1,1,1,15000.0,1,1,0
78,59918141,61,,0,1,1,2,0,5500.0,1,1,0
79,59918142,52,Рабочий,1,0,0,0,1,7000.0,1,1,0
80,59918152,34,Служащий,1,0,0,2,2,6000.0,1,1,1
81,59918243,44,Рабочий,1,0,0,3,3,11000.0,1,1,0
82,59918315,63,,0,1,1,2,0,4800.0,1,1,0
83,59918616,30,Рабочий,1,0,0,0,0,30000.0,1,1,0
84,59918705,27,Специалист,1,0,1,0,0,5300.0,1,1,0
85,59918758,35,Специалист,1,0,1,0,0,50000.0,1,1,0
86,59919115,48,Специалист,1,0,1,2,0,11000.0,2,2,0
88,59919158,29,Военнослужащий по контракту,1,0,1,1,1,11700.0,1,1,0
89,59919255,30,Рабочий,1,0,0,1,1,8000.0,1,1,0
90,59919426,31,Специалист,1,0,1,1,1,5000.0,2,2,0
92,59919466,51,Специалист,1,0,1,2,0,7500.0,1,1,0
93,59919794,47,Руководитель среднего звена,1,0,0,2,1,18000.0,2,2,0
95,59919854,26,Специалист,1,0,0,0,0,8000.0,1,1,0
96,59920262,44,Специалист,1,0,0,2,2,20000.0,1,1,0
97,59920457,33,Рабочий,1,0,1,1,1,10000.0,1,1,1
98,59920692,35,Специалист,1,0,1,0,0,9000.0,1,1,0
99,59920809,51,Рабочий,1,0,1,1,0,11000.0,1,1,0
100,59920871,43,Высококвалифиц. специалист,1,0,1,1,1,15000.0,2,2,0
102,59920924,35,Специалист,1,0,0,1,1,15000.0,1,1,0
103,59921016,27,Рабочий,1,0,1,0,0,10000.0,1,1,1
104,59921388,54,Руководитель среднего звена,1,0,1,0,0,15000.0,1,1,0
105,59921422,28,Специалист,1,0,1,1,1,8000.0,1,1,0
106,59921596,53,Специалист,1,0,0,2,0,25000.0,1,1,0
107,59921625,29,Рабочий,1,0,1,1,1,11000.0,1,1,0
108,59921843,59,Рабочий,1,0,1,1,0,8500.0,1,1,0
109,59922010,56,Рабочий,1,0,0,3,0,4000.0,1,1,0
112,59922128,51,Работник сферы услуг,1,0,0,1,0,8000.0,1,1,0
113,59923054,63,Рабочий,1,0,0,1,0,10000.0,1,1,0
114,59923107,31,Руководитель низшего звена,1,0,0,0,0,18000.0,1,1,0
115,59923159,58,Руководитель высшего звена,1,0,0,3,1,15000.0,1,1,0
116,59923161,48,Рабочий,1,0,0,2,0,12000.0,1,1,0
117,59923165,37,Другое,1,0,1,1,1,7300.0,1,1,0
118,59923241,52,Специалист,1,0,1,0,0,25000.0,1,1,0
119,59923269,52,Рабочий,1,0,1,0,0,8000.0,1,1,0
120,59923341,37,Руководитель среднего звена,1,0,0,0,0,12000.0,1,1,0
121,59923386,22,Специалист,1,0,0,1,0,8000.0,1,1,0
122,59923424,36,Служащий,1,0,1,2,2,10000.0,1,1,0
123,59923546,37,Рабочий,1,0,0,1,1,14500.0,1,1,0
124,59923557,63,,0,1,0,2,0,5000.0,1,1,0
125,59923612,26,Специалист,1,0,0,0,0,10000.0,2,1,0
127,59923663,57,,0,1,1,0,0,3000.0,2,2,1
129,59923678,45,Рабочий,1,0,1,1,1,5000.0,1,1,0
130,59923884,22,Рабочий,1,0,0,1,2,12000.0,1,1,0
131,59924026,57,Рабочий,1,1,0,0,0,30000.0,1,1,0
132,59924048,57,,0,1,0,0,0,6000.0,1,1,0
133,59924146,39,Военнослужащий по контракту,1,0,0,2,2,27000.0,1,1,0
134,59924239,37,Работник сферы услуг,1,0,1,2,2,9000.0,1,1,0
135,59924607,41,Высококвалифиц. специалист,1,0,0,0,0,18000.0,1,1,0
136,59925055,34,Служащий,1,0,0,2,2,6000.0,2,2,0
138,59925110,44,Служащий,1,0,0,1,0,15000.0,1,1,0
139,59925185,38,Служащий,1,0,0,1,1,13500.0,1,1,0
140,59925195,40,Специалист,1,0,1,1,1,6500.0,1,1,0
141,59925200,40,Специалист,1,0,0,2,2,14000.0,1,1,0
142,59925263,27,Руководитель низшего звена,1,0,1,1,1,15000.0,1,1,0
143,59925320,29,Специалист,1,0,0,1,1,20000.0,1,1,0
144,59925344,28,Служащий,1,0,1,1,1,10000.0,1,1,0
145,59925421,41,Служащий,1,0,1,2,1,8600.0,1,1,0
146,59925539,39,Рабочий,1,0,1,1,1,35000.0,1,1,0
147,59925799,43,Специалист,1,0,0,0,0,15000.0,1,1,0
148,59925843,57,,0,1,1,0,0,8000.0,2,2,0
150,59925872,50,Специалист,1,0,1,0,0,15000.0,1,1,0
151,59925882,38,Специалист,1,0,0,4,4,38000.0,3,2,0
154,59925955,51,Специалист,1,0,1,0,0,25000.0,1,1,0
155,59926091,54,Рабочий,1,0,1,1,1,11000.0,1,1,1
156,59926221,35,Специалист,1,0,1,1,1,15000.0,1,1,0
157,59926263,27,Работник сферы услуг,1,0,1,2,2,10000.0,1,1,0
158,59926295,48,Рабочий,1,0,1,2,0,6000.0,1,1,0
159,59926408,50,Специалист,1,0,1,0,0,12000.0,1,1,0
160,59926549,41,Служащий,1,0,1,2,2,5000.0,1,1,0
161,59926704,42,Рабочий,1,0,1,1,1,10000.0,2,2,0
163,59926732,29,Рабочий,1,0,0,1,1,6200.0,1,1,0
164,59926912,27,Специалист,1,0,0,0,0,10000.0,1,1,0
165,59926936,40,Высококвалифиц. специалист,1,0,0,2,2,20000.0,1,1,0
166,59927010,29,Высококвалифиц. специалист,1,0,1,0,0,15000.0,1,1,0
167,59927078,53,Рабочий,1,0,1,0,0,6000.0,1,1,0
168,59927260,46,Специалист,1,0,0,1,0,8000.0,1,1,0
169,59927432,57,,0,1,1,2,0,7000.0,1,1,0
170,59927451,32,Рабочий,1,0,1,1,1,10500.0,1,1,0
171,59927525,56,Специалист,1,0,1,0,0,170000.0,1,1,0
172,59927554,51,Рабочий,1,1,1,0,0,15000.0,1,1,0
173,59927584,31,Специалист,1,0,1,2,2,15000.0,1,1,0
174,59927613,51,Руководитель среднего звена,1,0,1,2,0,10000.0,1,1,0
175,59927690,43,Специалист,1,0,1,1,1,8000.0,1,1,0
176,59927793,35,Рабочий,1,0,1,1,1,10000.0,2,2,0
178,59927798,38,Специалист,1,0,1,0,0,9000.0,1,1,0
179,59927827,55,Специалист,1,0,0,0,0,20000.0,1,1,0
180,59927916,37,Руководитель высшего звена,1,0,1,2,2,60000.0,1,1,0
181,59927923,38,Рабочий,1,0,0,2,2,10000.0,1,1,0
182,59928049,23,Служащий,1,0,1,2,2,8000.0,1,1,0
183,59928086,53,Рабочий,1,0,0,2,0,7000.0,1,1,0
184,59928106,40,Рабочий,1,0,0,2,0,7800.0,2,2,0
186,59928443,59,Специалист,1,1,1,3,1,18000.0,4,2,0
190,59928497,37,Специалист,1,0,1,2,2,10000.0,1,1,0
191,59928561,27,Специалист,1,0,0,2,2,12000.0,2,2,1
193,59928609,63,Руководитель высшего звена,1,0,1,0,0,25000.0,1,1,0
194,59928861,57,Специалист,1,0,1,0,0,12000.0,1,1,0
195,59928901,42,Специалист,1,0,0,0,0,15000.0,2,2,1
197,59928942,31,Специалист,1,0,0,2,2,10000.0,3,2,0
200,59929169,33,Рабочий,1,0,1,2,2,3300.0,1,1,0
201,59929176,31,Руководитель среднего звена,1,0,0,1,2,30000.0,2,1,0
203,59929197,51,Рабочий,1,0,1,2,0,8000.0,2,1,0
205,59929552,28,Специалист,1,0,0,1,2,25000.0,2,2,0
207,59929697,27,Рабочий,1,0,1,1,1,6000.0,1,1,0
208,59929797,48,Специалист,1,0,0,1,1,10000.0,1,1,0
209,59929832,24,Специалист,1,0,0,1,1,6500.0,1,1,0
210,59929846,29,Специалист,1,0,0,1,1,25000.0,1,1,0
211,59929855,66,Рабочий,1,1,1,1,0,9300.0,1,1,0
212,59929948,49,Рабочий,1,0,0,1,1,10000.0,1,1,0
213,59930128,23,Специалист,1,0,0,0,0,15000.0,1,1,0
214,59930152,34,Военнослужащий по контракту,1,0,0,1,1,8000.0,1,1,0
215,59930194,35,Рабочий,1,0,0,0,0,13000.0,1,1,1
216,59930219,34,Руководитель среднего звена,1,0,1,1,1,18000.0,2,2,0
218,59930389,49,Рабочий,1,0,1,0,0,10000.0,1,1,0
219,59930422,29,Рабочий,1,0,0,0,0,20000.0,2,2,0
221,59930424,57,Руководитель среднего звена,1,0,0,3,0,12000.0,1,1,0
222,59930490,63,Руководитель высшего звена,1,1,1,3,0,20000.0,1,1,0
223,59930738,33,Рабочий,1,0,0,0,0,35000.0,1,1,0
224,59930942,50,,0,1,1,1,0,8000.0,1,1,0
225,59931044,48,Работник сферы услуг,1,0,1,0,0,18000.0,1,1,0
226,59931084,36,Специалист,1,0,1,1,0,17000.0,1,1,0
227,59931383,34,Рабочий,1,0,0,2,2,6000.0,2,1,0
229,59931442,23,Рабочий,1,0,0,0,0,5500.0,1,1,0
230,59931474,29,Специалист,1,0,0,0,0,28000.0,1,1,0
231,59931501,47,Специалист,1,0,1,2,0,9000.0,1,1,0
232,59931579,34,Специалист,1,0,1,1,1,14000.0,1,1,0
233,59931599,57,,0,1,1,0,0,9000.0,1,1,0
234,59931767,53,Специалист,1,0,1,0,0,7000.0,1,1,0
235,59931796,61,,0,1,1,0,0,7000.0,1,1,0
236,59931959,34,Работник сферы услуг,1,0,1,2,2,10000.0,1,1,0
237,59931983,47,Высококвалифиц. специалист,1,0,1,1,0,25000.0,1,1,1
238,59932008,24,Специалист,1,0,0,0,0,20000.0,1,1,0
239,59932142,56,,0,1,1,0,0,10000.0,1,1,0
240,59932520,42,Рабочий,1,0,0,1,0,10000.0,1,1,0
241,59932632,62,Специалист,1,1,1,0,0,15000.0,2,2,0
243,59932724,37,Специалист,1,0,1,2,2,12000.0,2,2,1
245,59932922,41,Служащий,1,0,1,2,0,15000.0,1,1,0
246,59933024,49,Рабочий,1,0,1,1,1,2300.0,1,1,0
247,59933083,25,Служащий,1,0,1,0,0,12000.0,1,1,1
248,59933136,39,Специалист,1,0,0,1,1,20000.0,2,2,0
250,59933153,25,Служащий,1,0,0,0,0,12000.0,1,1,0
251,59933221,44,Служащий,1,0,1,1,1,7000.0,1,1,0
252,59933246,23,Рабочий,1,0,1,1,1,12000.0,1,1,1
253,59933395,27,Специалист,1,0,0,1,1,15000.0,1,1,0
254,59933459,36,Служащий,1,0,1,0,0,8000.0,2,2,0
256,59933661,47,Высококвалифиц. специалист,1,0,1,1,0,30000.0,1,1,0
257,59933854,56,Специалист,1,1,1,1,1,10000.0,1,1,0
258,59933862,30,Работник сферы услуг,1,0,0,1,1,6000.0,1,1,0
259,59934004,48,Рабочий,1,0,1,0,0,12000.0,1,1,0
260,59934011,50,Руководитель среднего звена,1,0,0,0,0,15000.0,1,1,0
261,59934078,30,Военнослужащий по контракту,1,0,1,2,2,15000.0,1,1,0
262,59934125,49,Рабочий,1,0,1,0,0,5000.0,1,1,0
263,59934296,27,Специалист,1,0,0,1,1,12000.0,1,1,0
264,59934364,39,Военнослужащий по контракту,1,0,0,2,2,32000.0,1,1,1
265,59934448,53,Специалист,1,0,1,0,0,20000.0,2,2,0
267,59934534,44,Работник сферы услуг,1,0,0,2,0,10000.0,1,1,0
268,59934860,52,,0,1,1,1,0,5500.0,1,1,0
269,59935108,24,Служащий,1,0,1,0,0,12000.0,2,1,0
271,59935125,25,Рабочий,1,0,1,1,1,13500.0,1,1,0
272,59935139,60,Рабочий,1,1,1,0,0,5000.0,1,1,0
273,59935159,40,Рабочий,1,0,0,2,2,11000.0,2,2,0
275,59935199,48,Руководитель среднего звена,1,0,1,0,0,15000.0,1,1,0
276,59935377,38,Рабочий,1,0,0,2,2,21000.0,1,1,0
277,59935448,35,Высококвалифиц. специалист,1,0,0,0,0,28000.0,1,1,1
278,59935469,33,Специалист,1,0,1,1,1,18000.0,2,1,0
280,59935708,29,Специалист,1,0,0,0,0,35000.0,1,1,0
281,59935718,58,Специалист,1,0,1,2,1,30000.0,1,1,0
282,59935837,49,Специалист,1,1,1,0,0,7500.0,3,2,0
285,59935839,66,,0,1,1,0,0,8400.0,2,2,0
287,59935875,50,Специалист,1,0,1,2,0,5600.0,1,1,1
288,59935933,34,Специалист,1,0,1,1,1,15000.0,1,1,0
289,59936064,58,Высококвалифиц. специалист,1,0,0,0,0,13000.0,1,1,0
290,59936342,49,Руководитель высшего звена,1,0,1,0,0,20000.0,1,1,0
291,59936570,42,Специалист,1,0,1,1,1,25000.0,2,1,0
293,59936617,34,Руководитель высшего звена,1,0,1,2,2,6000.0,1,1,0
294,59936794,37,Специалист,1,0,1,2,2,9800.0,1,1,0
295,59936799,27,Рабочий,1,0,0,1,1,12000.0,1,1,1
296,59936804,60,Рабочий,1,0,0,0,0,11000.0,1,1,0
297,59936830,37,Руководитель высшего звена,1,0,1,1,1,15000.0,1,1,0
298,59936839,38,Высококвалифиц. специалист,1,0,1,0,0,10000.0,1,1,0
299,59937023,43,Рабочий,1,0,1,1,1,9000.0,1,1,0
300,59937024,35,Рабочий,1,0,1,0,0,15000.0,1,1,0
301,59937151,39,Специалист,1,0,1,1,1,6500.0,1,1,0
302,59937320,42,Рабочий,1,0,1,1,0,10000.0,1,1,0
303,59937564,32,Рабочий,1,0,1,1,0,7000.0,1,1,0
304,59937712,49,Рабочий,1,0,0,3,0,15000.0,2,2,0
306,59937776,35,Руководитель высшего звена,1,0,0,1,1,35000.0,1,1,0
307,59937805,42,Рабочий,1,0,1,1,0,10000.0,1,1,1
308,59937843,35,Специалист,1,0,0,2,2,25000.0,1,1,1
309,59937903,38,Рабочий,1,0,0,2,2,10000.0,1,1,0
310,59938197,43,Специалист,1,0,1,1,1,12500.0,1,1,1
311,59938227,37,Служащий,1,0,1,0,0,10000.0,1,1,0
312,59938300,51,Специалист,1,0,1,2,0,7000.0,1,1,1
313,59938618,44,Рабочий,1,0,0,0,0,20000.0,1,1,0
314,59938735,31,Высококвалифиц. специалист,1,0,1,0,0,10000.0,2,1,0
316,59938893,32,Специалист,1,0,1,0,0,14000.0,1,1,0
317,59939017,51,Индивидуальный предприниматель,1,0,1,0,0,10000.0,1,1,0
318,59939096,52,Специалист,1,0,1,2,0,10000.0,1,1,0
319,59939171,62,,0,1,1,1,0,6000.0,1,1,0
320,59939180,63,,0,1,0,0,0,4300.0,1,1,0
321,59939268,35,Специалист,1,0,1,0,0,12000.0,1,1,1
322,59939374,25,Высококвалифиц. специалист,1,0,0,0,0,10000.0,1,1,0
323,59939381,53,,0,1,1,3,0,5000.0,1,1,0
324,59939625,25,Рабочий,1,0,0,0,0,24000.0,2,1,0
326,59939725,27,Специалист,1,0,0,1,1,7000.0,1,1,0
327,59939737,55,Специалист,1,0,0,0,0,20000.0,1,1,0
328,59939829,48,Специалист,1,0,0,0,0,12000.0,1,1,0
329,59939964,44,Рабочий,1,0,1,0,0,10000.0,1,1,0
330,59940247,61,,0,1,1,4,0,6200.0,1,1,0
331,59940316,61,,0,1,1,2,0,4500.0,1,1,0
332,59940352,47,Руководитель низшего звена,1,0,1,0,0,20000.0,1,1,0
333,59940513,59,Руководитель высшего звена,1,0,0,1,1,20000.0,1,1,0
334,59940804,48,,0,1,1,0,0,7000.0,1,1,0
335,59940865,29,Специалист,1,0,1,1,1,15000.0,1,1,0
336,59959596,46,Рабочий,1,0,1,2,1,15000.0,1,1,0
337,59959659,46,Специалист,1,0,0,0,0,10000.0,1,1,0
338,59959827,61,,0,1,1,0,0,5000.0,1,1,0
339,59959841,65,,0,1,1,0,0,6000.0,1,1,0
340,59959893,35,Служащий,1,0,1,2,2,11000.0,1,1,0
341,59960027,50,,0,1,1,0,0,8000.0,1,1,0
342,59960165,45,Специалист,1,0,1,1,0,20000.0,1,1,0
343,59960311,50,Специалист,1,0,1,1,1,16000.0,1,1,0
344,59960473,44,Специалист,1,0,1,1,1,20000.0,1,1,0
345,59960871,28,Индивидуальный предприниматель,1,0,0,0,0,20000.0,2,2,0
347,59961022,22,Специалист,1,0,0,0,0,12000.0,1,1,0
348,59961183,58,,0,1,1,0,0,9000.0,1,1,0
349,59961222,38,Рабочий,1,0,0,3,3,12000.0,1,1,0
350,59961282,43,Руководитель среднего звена,1,0,1,0,0,40000.0,1,1,0
351,59961652,41,Специалист,1,0,0,2,2,30000.0,1,1,0
352,59961674,53,Специалист,1,0,0,0,0,15000.0,1,1,0
353,59961924,30,Руководитель среднего звена,1,0,1,1,1,10000.0,1,1,0
354,59961994,39,Специалист,1,0,1,2,2,10000.0,1,0,0
355,59962281,26,Специалист,1,0,0,0,0,6000.0,1,1,0
356,59962548,26,Рабочий,1,0,0,1,1,15000.0,1,1,0
357,59963195,61,,0,1,1,0,0,4950.0,1,1,0
358,59963382,58,Работник сферы услуг,1,0,0,2,0,5500.0,1,1,0
359,59963388,57,Рабочий,1,0,0,3,0,7000.0,1,1,0
360,59963500,51,Рабочий,1,0,0,4,0,15000.0,1,1,0
361,59963503,48,Рабочий,1,0,1,2,0,8000.0,1,1,0
362,59963696,35,Рабочий,1,0,0,1,1,15000.0,1,0,0
363,59963728,39,Рабочий,1,0,0,2,1,8000.0,1,0,1
364,59963789,42,Специалист,1,0,0,1,1,28000.0,1,0,0
365,59964073,34,Специалист,1,0,0,2,2,10000.0,1,1,0
366,59964749,34,Рабочий,1,0,0,1,1,11000.0,1,0,0
367,59965101,47,Рабочий,1,0,1,0,0,5000.0,1,0,0
368,59965218,29,Специалист,1,0,1,1,1,11000.0,1,1,0
369,59965290,45,Работник сферы услуг,1,0,0,1,0,7000.0,1,1,0
370,59965423,54,Рабочий,1,0,1,0,0,6000.0,1,0,0
371,59965770,48,Руководитель низшего звена,1,0,1,2,0,9000.0,1,0,0
372,59965990,23,Специалист,1,0,1,0,0,13000.0,1,0,0
373,59966257,50,Рабочий,1,0,1,1,0,7000.0,1,0,0
374,59966422,53,Специалист,1,0,1,1,0,15000.0,1,0,0
375,59966502,39,Специалист,1,0,0,1,1,8000.0,1,0,0
376,59966600,45,Служащий,1,0,1,1,0,12000.0,1,0,0
377,59966625,46,Рабочий,1,0,1,0,0,20000.0,1,0,0
378,59966861,27,Специалист,1,0,1,1,1,6000.0,1,0,0
379,59966928,57,,0,1,1,2,0,6500.0,1,0,0
380,59966946,60,,0,1,1,2,0,6000.0,1,1,0
381,59966989,33,Рабочий,1,0,0,3,3,10000.0,1,0,1
382,59967229,57,Служащий,1,1,0,2,0,14000.0,1,0,0
383,59967312,56,Рабочий,1,0,0,3,0,10000.0,1,0,0
384,59967428,59,Руководитель низшего звена,1,0,1,0,0,8000.0,1,1,0
385,59967705,45,Специалист,1,0,1,2,0,5000.0,1,0,0
386,59967858,43,Руководитель среднего звена,1,0,0,0,0,30000.0,1,1,0
387,59968198,40,Работник сферы услуг,1,0,0,2,2,17000.0,1,0,0
388,59968281,34,Специалист,1,0,1,0,0,10000.0,1,0,0
389,59968297,26,Служащий,1,0,1,2,2,6000.0,1,0,0
390,59968300,27,Работник сферы услуг,1,0,1,2,2,10000.0,1,0,0
391,59968305,39,Другое,1,0,1,2,1,12000.0,1,0,1
392,59968371,41,Специалист,1,0,1,0,0,8000.0,1,0,0
393,59968581,27,Рабочий,1,0,1,0,0,6000.0,1,0,0
394,59968595,53,Специалист,1,0,1,1,0,13000.0,1,0,0
395,59968635,35,Специалист,1,0,1,1,1,8000.0,1,0,0
396,59968922,50,Специалист,1,0,0,0,0,15000.0,1,0,0
397,59968999,34,Рабочий,1,0,1,0,0,5000.0,1,0,1
398,59969048,44,Специалист,1,0,0,3,0,25000.0,1,0,0
399,59969123,58,Рабочий,1,0,0,0,0,7000.0,1,0,0
400,59969141,36,Служащий,1,0,1,2,2,18000.0,1,0,0
401,59969211,64,,0,1,0,3,0,6000.0,1,0,0
402,59969405,24,Работник сферы услуг,1,0,1,0,0,15000.0,1,0,0
403,59969541,32,Служащий,1,0,1,2,2,9000.0,1,0,0
404,59969571,26,Специалист,1,0,0,1,1,10000.0,2,1,0
406,59969781,31,Специалист,1,0,0,1,1,10000.0,1,0,0
407,59969988,27,Специалист,1,0,1,0,0,13000.0,1,1,0
408,59970015,39,Специалист,1,0,1,1,1,6500.0,1,1,0
409,59970019,59,,0,1,1,1,0,4000.0,1,0,0
410,59970582,52,Высококвалифиц. специалист,1,0,1,0,0,16000.0,1,0,0
411,59971711,25,Специалист,1,0,1,0,0,20000.0,1,0,0
412,59971939,30,Рабочий,1,0,1,1,1,20000.0,1,0,0
413,59972108,29,Рабочий,1,0,1,1,1,9500.0,1,0,1
414,59972120,26,Рабочий,1,0,0,0,0,15000.0,1,1,0
415,59972240,35,Руководитель низшего звена,1,0,1,0,0,7800.0,1,0,1
416,59972495,38,Специалист,1,0,1,1,1,24000.0,1,1,0
417,59972509,45,Индивидуальный предприниматель,1,0,1,1,0,18000.0,1,0,1
418,59972881,52,,0,1,1,2,1,4600.0,1,0,0
419,59972887,46,Служащий,1,0,1,2,1,36000.0,1,0,0
420,59973018,58,Рабочий,1,0,0,3,0,6000.0,1,0,0
421,59973106,29,Специалист,1,0,1,0,0,15000.0,1,0,0
422,59973119,55,Рабочий,1,0,1,1,1,9000.0,1,0,0
423,59973194,53,Рабочий,1,0,1,2,0,10500.0,1,1,0
424,59973367,22,Специалист,1,0,1,0,0,8000.0,1,0,1
425,59973701,23,Работник сферы услуг,1,0,1,1,1,7000.0,1,0,0
426,59973752,57,Рабочий,1,1,1,5,1,15000.0,1,0,0
427,59973988,50,Работник сферы услуг,1,0,1,1,0,10000.0,1,0,0
428,59974002,45,Специалист,1,0,1,2,1,8000.0,1,0,0
429,59974159,60,,0,1,1,0,0,5000.0,1,1,0
430,59974859,50,Рабочий,1,0,0,2,0,15000.0,1,0,0
431,59974935,46,Специалист,1,0,0,1,0,15000.0,1,0,0
432,59974968,59,,0,1,1,4,0,8000.0,1,0,0
433,59974976,33,Работник сферы услуг,1,0,0,1,1,9000.0,1,1,0
434,59974979,27,Специалист,1,0,0,0,0,55000.0,1,1,0
435,59975134,38,Рабочий,1,0,0,2,0,15000.0,1,1,1
436,59975226,62,,0,1,1,0,0,4000.0,1,1,0
437,59975401,31,Специалист,1,0,0,1,1,15000.0,1,0,0
438,59975501,57,Рабочий,1,0,0,2,0,18000.0,1,0,0
439,59975641,33,Специалист,1,0,1,1,1,7500.0,1,0,0
440,59975803,45,Высококвалифиц. специалист,1,0,1,1,0,20000.0,1,0,0
441,59975854,49,Рабочий,1,0,1,0,0,9500.0,1,0,0
442,59975912,25,Специалист,1,0,0,0,0,21000.0,1,0,0
443,59975969,55,Работник сферы услуг,1,0,1,1,0,13000.0,1,0,0
444,59975992,42,Специалист,1,0,1,1,0,10000.0,1,0,1
445,59976017,42,Специалист,1,0,0,2,2,23000.0,1,1,0
446,59976223,39,Рабочий,1,0,1,1,0,18000.0,1,0,0
447,59976321,34,Рабочий,1,0,1,2,2,11000.0,1,0,0
448,59976364,55,Руководитель среднего звена,1,0,1,5,0,6000.0,1,0,0
449,59976454,43,Рабочий,1,0,1,0,0,4500.0,1,0,0
